"","place","max","mean","total","r","b","b.se","b.p","m","m.se","m.p","l"
"1","Alexander Graham Bell",30357,13370.9705882353,454613,-0.0311047805742029,15.6888407010681,8.95872546226996,0.0894867839998879,-0.01163267798147,0.17327813279795,0.946893541288933,9
"2","Artillery Park",21010,5263.375,252642,-0.0132219171438541,44.1513148689236,4.13938065010205,5.03004614049619e-14,0.067973337013954,0.109310832436273,0.537120127366317,69
"3","Aulavik",24,1.08333333333333,65,0.0120903499126354,13.6049796003766,2.9546215503538,2.30402664797044e-05,-0.244795480698818,0.186543095558878,0.194597756823647,20
"4","Auyuittuq",416,39.1147540983607,2386,-0.00663696896107657,26.1971147938567,3.67193518727416,1.60185613300499e-09,0.130720934581277,0.168143567792169,0.440007573026021,49
"5","Banff",723828,312127.482437095,21848923.7705967,0.705378722551841,11.2094385290531,2.48465162841795,2.61728006119381e-05,0.639166406386954,0.0495792297979896,6.24420891170525e-20,72
"6","Banff Park Museum",20623,4213.52727272727,231744,-0.0135105471489907,25.5611779783737,4.77192232106917,1.86989824587605e-06,0.0819915277357736,0.154906292702292,0.59880910735487,43
"7","Bar U Ranch",9542,2431.88235294118,124026,0.016678919913299,9.32491613802904,5.21801781590666,0.0801140489702019,0.188822195407194,0.138896511555124,0.180229163762112,13
"8","Batoche",5994,2172.48571428571,76037,0.116769774983675,4.49321532334214,7.41568428033946,0.5487217359037,0.3829070527922,0.163345497871369,0.0252405584845171,19
"9","Battle of the Châteauguay",1762,545.423076923077,14181,NA,NA,NA,NA,NA,NA,NA,0
"10","Battle of the Restigouche",6015,1761.04166666667,42265,NA,NA,NA,NA,NA,NA,NA,0
"11","Bellevue House",8115,1492.83076923077,97034,0.264599782155724,28.1117922140229,3.15143913640015,8.89627402522434e-13,0.540866335707926,0.110340813112435,6.98245095728859e-06,69
"12","Bethune Memorial House",14657,1965.92307692308,102228,-0.00782267573139372,12.8344071607778,4.05317951927707,0.00262863177511145,0.134215078130549,0.172676180484934,0.440664790217152,23
"13","Bruce Peninsula",152392,68175.7428571429,2386151,0.376151291373862,21.8826410115085,6.78567915499575,0.00284041713052807,0.593376362116634,0.127969666793857,5.35629493857218e-05,71
"14","Canso Islands and Grassy Island Fort",2832,1385.38888888889,24937,NA,NA,NA,NA,NA,NA,NA,0
"15","Cape Breton Highlands",87380,45470.4089142857,1591464.312,0.431820435390637,12.8503147656817,5.91673000241579,0.0371537817076754,0.511849632680394,0.0987982427089689,1.08249093116659e-05,66
"16","Cape Spear",35831,8215.44827586207,238248,0.0768974494838829,6.14680897867008,9.52835344008826,0.524302073999519,0.544038016565633,0.298019541546563,0.0790050764726056,11
"17","Carillon Canal",9843,4558.03225806452,141299,NA,NA,NA,NA,NA,NA,NA,0
"18","Carleton Martello Tower",5975,1922.15625,61509,-0.0330413008069543,15.0113596753183,7.44026114547584,0.0526573333864054,-0.0158955551091497,0.17260695907098,0.927237918875538,12
"19","Cartier-Brébeuf",8495,3103.125,74475,0.0977276272620304,-1.6853452649194,8.92614307858183,0.851972650623431,0.347269310857572,0.185857212999016,0.0750710968712818,9
"20","Castle Hill",5410,1915.65217391304,44060,-0.0262902080963334,7.06763579143001,9.20171491462977,0.450992005088063,0.133155714587463,0.201558743143077,0.516031938681955,7
"21","Cave and Basin",55358,15412.09375,986374,0.332848223700351,6.84403790204949,3.70869649243949,0.0697555276305994,0.576370078574395,0.101209048942576,3.62635859460522e-07,48
"22","Chambly Canal",87919,43170.5428571429,1510969,-0.00962203627478453,42.2291150289787,8.88928878413846,3.83989733935377e-05,0.132073790076784,0.160639882126886,0.416879590513252,62
"23","Chilkoot Trail",1414,632.458333333333,15179,0.333937754940873,21.0929412829615,6.85728389295301,0.00552646342214136,0.430161370723644,0.121515931106747,0.00183890561822598,71
"24","Coteau-du-Lac",11353,3745.32,93633,-0.0277083667467206,55.5051710978332,5.24672323087271,2.61573032193062e-10,0.0695619934379442,0.117092386719771,0.558258695510688,72
"25","Elk Island",91922,34786.65856,2435066.0992,0.601362704934391,1.67258188820927,3.29405065003043,0.613265848251969,0.767034960563923,0.0748230028743868,1.96155071638696e-15,72
"26","Fathom Five National Marine Park",138572,53509.7714285714,1872842,0.341819899667928,7.30049388785028,5.88714009042746,0.223693297586221,0.531606972900268,0.123073019762335,0.000134741182574664,53
"27","Forges du Saint-Maurice",9125,1870.51612903226,57986,-0.0249867441757805,15.3345370762919,7.04601776470416,0.0378179749527149,0.115867248050209,0.223537368661628,0.608157086971788,28
"28","Forillon",66428,27310.0285714286,955851,0.529042841688412,14.4425634160693,5.6593290222382,0.0155263551797502,0.677942450328632,0.108289498212968,4.49151177583418e-07,61
"29","Fort Anne",22006,6763.62068965517,196145,0.158122370293059,-3.31364171598042,6.87669972185078,0.633784786584441,0.448877309564561,0.179421924284962,0.0187173750610744,10
"30","Fort Battleford",4589,1022.63636363636,33747,-0.00447320409210339,4.57632861587874,5.21193221308771,0.386672315803504,0.142755955610031,0.154162397861673,0.36159400361536,4
"31","Fort Beauséjour",6787,2777.5,55550,-0.0482142988902399,37.3774249742838,14.133604048633,0.0164765328684108,-0.100856285510222,0.284057690979095,0.726674180565789,22
"32","Fort Chambly",70788,20853.0263157895,792415,-0.0173255159092289,14.4717482572022,7.03146458746181,0.0468715912937451,-0.104452697058629,0.171748611876528,0.546891524876153,5
"33","Fort Edward",1213,489.142857142857,10272,-0.052446847506249,7.37784025568655,8.41563208519088,0.391608881196523,-0.00936986451820814,0.162250553684978,0.954551308180254,3
"34","Fort George",47547,6772.5303030303,446987,0.0325130810543329,9.98259566216248,3.10790418386975,0.00206404987270998,0.241623102850342,0.135402484746623,0.0790853488848889,31
"35","Fort Langley",36314,8335.44285714286,583481,-0.00512856634956793,22.8187535356157,4.76948526492825,9.604809023298e-06,0.132992143489429,0.165219167248192,0.42365767479243,46
"36","Fort Lennox",12228,4667,79339,-0.0606571013969535,7.89760872603632,13.1809524685315,0.558002434486979,0.081285709230829,0.278826818709779,0.774640685486531,4
"37","Fort Malden",20758,2599.125,145551,0.143016050245154,5.59514076481292,4.51338659518448,0.220455417619524,0.571425260439622,0.17910848516074,0.00236745537246116,8
"38","Fort Rodd Hill/Fisgard Lighthouse",18537,5917.1884057971,408286,NA,NA,NA,NA,NA,NA,NA,NA
"39","Fort St. James",3659,988.808510638298,46474,-0.0180888267444317,32.7853722898051,4.22557501274109,7.75350903021047e-10,-0.0432338143466582,0.101147849109154,0.671103253136708,67
"40","Fort St. Joseph",1791,786.434782608696,18088,NA,NA,NA,NA,NA,NA,NA,0
"41","Fort Témiscamingue",3893,1484.2962962963,40076,NA,NA,NA,NA,NA,NA,NA,0
"42","Fort Walsh",6615,2060.6,61818,0.238537657698758,0.307390921341784,6.17747364314458,0.960666933732569,0.488787775673707,0.153918449038789,0.0036214608284774,16
"43","Fort Wellington",8113,1803.94871794872,70354,0.16125100562406,18.3399291072327,4.9179094804479,0.000641384519880104,0.410231266305798,0.142345609387813,0.0065438533469994,58
"44","Fortifications of Québec",518367,323632.4,11327134,0.0867167606420611,-8.56367981752295,9.08088879975829,0.352511624530636,0.279489633087193,0.135919515697356,0.0477336308390221,14
"45","Fortress of Louisbourg",47337,7461.84057971014,514867,0.250073647605106,0.755070910135353,1.75846541262721,0.669015701548578,0.304230381332609,0.0625248060721377,7.24675238048502e-06,16
"46","Fundy",88427,50027.9714285714,1750979,0.727844820234396,-3.84916083477687,6.0391684809672,0.528284065260971,0.94474127376621,0.0985342618343746,4.59408325657704e-11,72
"47","Georgian Bay Islands",12163,6120.11428571429,214204,0.390176067701223,7.51446574277887,5.91091152584568,0.21251443672942,0.486620901615764,0.10201494862766,3.62616543707146e-05,62
"48","Grand-Pré",17184,5915.82857142857,207054,0.154753121829714,-7.21672035765519,9.27046316651375,0.441841986586455,0.599694006969589,0.223106777131235,0.0111784486680529,5
"49","Grasslands",4705,2539.54285714286,88884,0.241235577369303,32.1714076999029,6.19152008641856,1.03472818397996e-05,0.349895193400217,0.101816624009023,0.00161079571567205,72
"50","Green Gables House",81641,23213.4318181818,1021391,0.57298948890645,8.30294321151901,3.21265611980873,0.0133195844163818,0.611210243518971,0.0797758083904176,1.67003423907025e-09,65
"51","Gros Morne",62998,39044.03125,1249409,0.151990047026091,25.483975259958,9.76057263017105,0.0139616974209484,0.367332465592463,0.143461066353622,0.015726328209765,72
"52","Grosse Île and the Irish Memorial",10398,3617.66666666667,119383,-0.00758238355929031,6.57510434548176,5.0797359448896,0.205093952665569,-0.101885683429176,0.116933251409851,0.390280331364073,3
"53","Gulf Islands Reserve",8272,4821.66666666667,43395,NA,NA,NA,NA,NA,NA,NA,0
"54","Gulf of Georgia Cannery",22634,5535.10144927536,381922,0.0498368844454268,1.91887459397333,5.85862112205794,0.744288227788234,0.403345376238094,0.188746008141347,0.0362544670428998,9
"55","Gwaii Haanas Reserve and Haida Heritage Site",1096,225.666666666667,13540,NA,NA,NA,NA,NA,NA,NA,0
"56","Halifax Citadel",138006,39657.3428571429,2776014,0.150759091404593,3.21617401438748,4.03246355170917,0.427896116273195,0.390684176044973,0.107333126648823,0.000527060708251262,26
"57","Hawthorne Cottage",3820,1109.875,17758,-0.00368878426995289,11.7122610431206,13.4083112362478,0.397122570806728,0.334726098121673,0.344352451284463,0.347524162375353,13
"58","HMCS Haida",15718,3708.79310344828,107555,-0.0267393511032192,25.2258448012633,7.15273800105823,0.00152485061300829,-0.114791597694337,0.220591361372434,0.607039168714525,21
"59","Ivvavik",100,9.96666666666667,598,-0.0133040377205806,27.632657625582,3.95777164325162,3.14394431690598e-09,-0.073510798553373,0.154847958212097,0.636762915514282,41
"60","Jasper",495704,176390.514285714,12347336,0.741119275443654,14.9961772115458,2.34228732566608,1.66265963366412e-08,0.703877953922169,0.0499553599496087,7.51228798652447e-22,72
"61","Kejimkujik",22428,8826.4,308924,0.169594681399045,12.2857529841801,6.34521257433777,0.0614438937962454,0.385507038057201,0.136778076189992,0.00809276167942518,68
"62","Klondike National Historic Sites",16154,4619.15909090909,203243,NA,NA,NA,NA,NA,NA,NA,0
"63","Kluane National Park and Reserve",9996,3453.09090909091,151936,-0.010997356556,5.95099303519823,3.88078593368308,0.132663935269407,0.0566829743633486,0.0776947540644628,0.469708706991155,12
"64","Kootenay",107358,40489.7857142857,2834285,0.680218124403048,6.57973570473435,2.37337324916447,0.00717470919709491,0.595227182145688,0.0489650908573182,1.0302536604743e-18,72
"65","Kouchibouguac",49675,16571.8714285714,1160031,0.556517946974008,2.22470957423006,3.05300954543888,0.468691128623614,0.666856348089047,0.0712545661201557,7.62749062038144e-14,65
"66","L'Anse aux Meadows",11789,5448.53333333333,163456,0.0284840426211749,19.4218941515388,9.5777010665809,0.0521902391738404,0.228157405994597,0.167733057785811,0.184605058794031,35
"67","La Mauricie",96354,18755.3714285714,1312876,0.582906254028505,4.26613455292323,1.79814988649375,0.0205023614610112,0.614559219531277,0.0622610465661075,9.27252577853845e-15,58
"68","Lachine Canal",280447,171843.485714286,6014522,0.448439978835952,25.2271903114433,6.26085170186117,0.000309532483507652,0.495681481513298,0.0926170387939426,6.52912407327315e-06,72
"69","Laurier House",3268,626.875,30090,0.027925264989936,1.43159750596152,4.63707590555744,0.758921981011909,0.247932831114939,0.161726942078409,0.132117090561793,5
"70","Lévis Forts",11455,2148.03225806452,66589,NA,NA,NA,NA,NA,NA,NA,0
"71","Louis S. St. Laurent",7579,1818.125,43635,NA,NA,NA,NA,NA,NA,NA,0
"72","Lower Fort Garry",14336,2892.85714285714,162000,-0.018009834551769,11.8340183894046,5.14824089322596,0.0254218404115987,-0.025402179463473,0.154641503036916,0.870135888556603,9
"73","Manoir Papineau",8581,3000.93333333333,90028,0.0967533176396514,7.34159961956406,7.67955767524873,0.347257736869604,0.339084285992761,0.167331227264348,0.0523420883261125,31
"74","Marconi",2214,839.444444444444,15110,0.13325149978668,1.30952971069027,13.3501369951848,0.92307829594655,0.507605970860074,0.267030415164107,0.0754797193329546,9
"75","Mingan Archipelago Reserve",18568,6503.68571428571,227629,NA,NA,NA,NA,NA,NA,NA,0
"76","Monument-Lefebvre",4860,1113.11111111111,20036,NA,NA,NA,NA,NA,NA,NA,0
"77","Motherwell Homestead",4942,1191.93548387097,36950,0.610408237499181,4.47325856658354,4.79901501539443,0.358970315819972,0.934003204623077,0.134806580791118,1.29378105916854e-07,27
"78","Mount Revelstoke and Glacier",184450,65228.5285714286,4565997,NA,NA,NA,NA,NA,NA,NA,0
"79","Nááts'ihch'oh Reserve",88,9.5,133,NA,NA,NA,NA,NA,NA,NA,0
"80","Nahanni Reserve",525,85.9354838709677,5328,NA,NA,NA,NA,NA,NA,NA,0
"81","Nan Sdins",998,222.610169491525,13134,NA,NA,NA,NA,NA,NA,NA,0
"82","Pacific Rim Reserve",163708,90164.1142857143,6311488,-0.0114556992767851,23.111337617384,8.39529324312065,0.00756815808865152,-0.0660886245948167,0.141381237249649,0.641672691695698,32
"83","Point Pelee",92089,32534.6142857143,2277423,0.582423857387313,6.87867667855844,3.31165786624826,0.0415716642187391,0.774541229426313,0.078545909434847,9.64791088806914e-15,68
"84","Pointe-au-Père Lighthouse",13420,6690.66666666667,140504,NA,NA,NA,NA,NA,NA,NA,0
"85","Port-la-Joye–Fort Amherst",10740,5857.2,58572,NA,NA,NA,NA,NA,NA,NA,0
"86","Port-Royal",12261,4060.26666666667,121808,-0.0321130130589764,9.77301459397033,7.4739502071713,0.201640915950547,0.0551704355953543,0.176507442550945,0.756925607967554,7
"87","Port au Choix",5610,2432.48148148148,65677,0.357946542374689,22.5368853036849,6.71699979218134,0.00253393265087094,0.48987590527138,0.124448395439135,0.000583286933724025,66
"88","Prince Albert",81181,23101.9,1617133,0.531885600937068,12.8240881846636,2.80953093045968,2.15846545155245e-05,0.609090469340849,0.0683552565239851,4.894011685074e-13,71
"89","Prince Edward Island",222096,57396.8125,3673396,0.420359149180915,8.06750011449872,2.84446965860855,0.00615874487024938,0.528837423606109,0.0773961903613539,4.18211659140485e-09,53
"90","Prince of Wales Fort",4217,950.138461538462,61759,0.00501732108102804,15.6623694418015,3.47117179505137,2.86491280812332e-05,0.107165145833803,0.0931790594273005,0.254450138242928,41
"91","Pukaskwa",5487,1480.88095238095,62197,0.397554957236159,14.8734862721832,4.32337497009593,0.00137300484112867,0.595759537378057,0.112475549859329,4.57909030049117e-06,69
"92","Queenston Heights",7164,2120.43333333333,63613,0.120274531665317,48.719975329598,5.88128760638375,5.15404223371119e-09,0.342811516853913,0.153852032467042,0.034076533173343,72
"93","Quttinirpaaq (Ellesmere Island)",19,1.98360655737705,121,NA,NA,NA,NA,NA,NA,NA,0
